254,"Armstrong","39.2595","-92.7114"
254,"Arnold","38.4305","-90.3985"
254,"Arrow Rock","39.0692","-92.9457"
254,"Asbury","37.3118","-94.561"
254,"Ash Grove","37.313","-93.5731"
254,"Ashburn","39.536","-91.1675"
254,"Ashland","38.7851","-92.2572"
254,"Atlanta","39.9265","-92.4529"
254,"Augusta","38.6039","-90.8829"
254,"Aurora","36.8623","-93.6772"
254,"Auxvasse","39.0046","-91.853"
254,"Ava","36.9272","-92.6852"
254,"Avilla","37.2023","-94.1134"
254,"Bakersfield","36.5378","-92.1529"
254,"Ballwin","38.5932","-90.5476"
254,"Baring","40.2599","-92.2634"
254,"Barnard","40.1964","-94.7908"
254,"Barnett","38.409","-92.6639"
254,"Barnhart","38.3344","-90.4485"
254,"Bates City","39.0388","-94.0715"
254,"Beaufort","38.4167","-91.1658"
254,"Belgrade","37.7977","-90.8701"
254,"Bell City","36.9874","-89.7791"
254,"Belle","38.2601","-91.7526"
254,"Belleview","37.6719","-90.8569"
254,"Bellflower","38.9997","-91.3365"
254,"Belton","38.7873","-94.553"
254,"Bendavis","37.2496","-92.2307"
254,"Benton","37.0755","-89.5496"
254,"Benton City","39.1148","-91.7695"
254,"Berger","38.6435","-91.3297"
254,"Bernie","36.683","-90.0139"
254,"Bertrand","36.885","-89.4498"
254,"Bethany","40.2525","-93.9661"
254,"Bethel","39.9071","-92.0383"
254,"Beulah","37.6492","-91.8804"
254,"Bevier","39.7769","-92.5616"
254,"Billings","37.0483","-93.5506"
254,"Birch Tree","36.9122","-91.496"
254,"Bismarck","37.7559","-90.6031"
254,"Bixby","37.6645","-91.0695"
254,"Black","37.5499","-90.9843"
254,"Blackburn","39.0909","-93.4013"
254,"Blackwater","38.9709","-92.9617"
254,"Blackwell","38.067","-90.7031"
254,"Blairstown","38.5147","-93.9547"
254,"Bland","38.3239","-91.6268"
254,"Blodgett","37.0044","-89.5269"
254,"Bloomfield","36.9153","-89.956"
254,"Bloomsdale","38.0329","-90.2524"
254,"Blue Eye","36.5353","-93.4518"
254,"Blue Springs","39.0165","-94.2784"
254,"Blythedale","40.5259","-93.8577"
254,"Bogard","39.5127","-93.5521"
254,"Bois D Arc","37.2186","-93.5636"
254,"Bolckow","40.0921","-94.9309"
